name_zh,bgg_id,bgg_query,name_en_override,category_zh,alias_zh,price_msrp_twd,price_twd,used_price_twd,price_note,used_note,manual_override,stock,description,image_override,image_version_id,,,,
ZIP ZAP,117814,,,,,450,450,250,,,1,1,,,,,,,
VYE,142239,,,,,,,,,,,1,,,,,,,
Uno疊疊樂,2821,,,,,799,799,350,,,1,1,,,,,,,
UNO SHOW'EM NO MERCY,399088,,,,,469,469,300,,,1,1,,,,,,,
UNO,2223,,,,,269,269,150,,,1,1,,,,,,,
Whoa dominoes,2394,,,,,625,625,500,,,1,1,,,,,,,
yocto loto,,,,,,,,,,,,,,,,,,,
The frog prince,,,,,,,,,,,,,,,,,,,
Solo,3347,,,,,250,250,120,,,1,2,Swan Panasia Chinese edition 2013,https://cf.geekdo-images.com/Q-YgMsvL4P2vWjSx1qHi0w__small/img/wXMxineQZz0mSYBbBmVooyFTvTw=/fit-in/200x150/filters:strip_icc()/pic2390725.png,265142,,,,
Solo,,,,,,,,,,,,,,,,,,,
Sifaka,166246,,,,,,,,,,,,,,,,,,
SEVEN!,105866,,,,,490,490,354,,,1,2,Chinese edition,https://cf.geekdo-images.com/11_4ft9nWaMW9sTrTr-m8w__small@2x/img/g8Bo8c8hrUeWanMi2a7qGWlh0jA=/fit-in/400x300/filters:strip_icc()/pic5531526.jpg,517784,,,,
SET,1198,,,,,590,590,354,,,1,11,,https://cf.geekdo-images.com/Dzz6QN5VZvMfR0yA4CW4JA__small@2x/img/U8VpSePwrcW6kbYThGCYcgwZds8=/fit-in/400x300/filters:strip_icc()/pic4120020.jpg,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
Red7,161417,,,,,490,490,354,,,1,1,,https://cf.geekdo-images.com/DZjCvkOv4u4yrIb5vbZXdw__small@2x/img/-S1CVkUlV4R_2pW8Y9_PiZg349s=/fit-in/400x300/filters:strip_icc()/pic3002342.jpg,,,,,
Ranking,80942,,,,,1280,1280,768,,,1,1,,https://cf.geekdo-images.com/ybE6_MilIX9a0yXKSx8WWA__small@2x/img/7AUcnLjAdRU9Az2YmPp6K3j13UU=/fit-in/400x300/filters:strip_icc()/pic819469.jpg,61093,,,,
QWINTO,183006,,,,,600,600,360,,,1,2,,,,,,,
QWINTO,,,,,,,,,,,,,,,,,,,
Quibbit,209849,,,,,650,650,390,,,1,1,,https://cf.geekdo-images.com/Me6h25HoQnUagVTweBRu1g__small@2x/img/D12LcObNnFSCIICj-uzsUoMNXZU=/fit-in/400x300/filters:strip_icc()/pic3198237.jpg,,,,,
pony run,224993,,,,,550,550,330,,,1,1,,https://cf.geekdo-images.com/yH0Ayf6TgZSjAFMxiGds9A__small/img/F37koiy_5xcdAybqf9QZvNqqj7U=/fit-in/200x150/filters:strip_icc()/pic3504334.jpg,,,,,
Pinguin Picknick,11782,,,,,690,690,414,,,1,2,,https://cf.geekdo-images.com/mZXOIcWV4AAjrBwUhHy9Mw__small@2x/img/yYYAfPCskmJKaktUncp65UkQH1I=/fit-in/400x300/filters:strip_icc()/pic775862.jpg,,,,,
Pinguin Picknick,,,,,,,,,,,,,,,,,,,
Petits chevaux - Ludo,2136,,,,,690,690,414,,,1,1,,https://www.bcd-jeux.fr/57664-pdt_771/petits-chevaux-ludo-djeco.jpg,,,,,
Ozo王大作戰,233565,,,,,490,490,294,,,1,1,,https://cf.geekdo-images.com/HBsAixuHrB1rPxv7OWpfDA__small@2x/img/dWovHUgtqgcq5wRiNbV-kLgBKYg=/fit-in/400x300/filters:strip_icc()/pic3826338.png,,,,,
OUCH!,,,,,,490,490,294,,,1,4,,https://github.com/TELIFUJ/tabletop-paradise/blob/main/public/images/1471492171-1615310324_n.jpg?raw=true,,,,,
OUCH!,,,,,,,,,,,,,,,,,,,
OUCH!,,,,,,,,,,,,,,,,,,,
OUCH!,,,,,,,,,,,,,,,,,,,
orchard,5770,,,,,2100,2100,1260,,,1,1,,,,,,,
Office 21,137789,,,,,390,390,234,,,1,2,,https://github.com/TELIFUJ/tabletop-paradise/blob/main/public/images/5ab909bd326fa9033cea187b_Office21_Box_3D-p-800.jpeg?raw=true,,,,,
Office 21,,,,,,,,,,,,,,,,,,,
NANU,30951,,,,,490,490,294,,,1,2,,https://cf.geekdo-images.com/ANOFVaeWMTG2g9qQgnvfvQ__small@2x/img/_VW4borDmUa6MqXO7UgpPTGmtcU=/fit-in/400x300/filters:strip_icc()/pic697952.jpg,,,,,
NANU,,,,,,,,,,,,,,,,,,,
Nain jaune,,,,,,,,,,,,,,,,,,,
Moo斯密碼,126771,,,,,499,499,300,,,1,2,,https://cf.geekdo-images.com/ww5tDCvOxLPNRtrDAmcVKA__small@2x/img/d6UunPRAj7oCjvMWe6Mq8GiYUUI=/fit-in/400x300/filters:strip_icc()/pic2034497.jpg,,,,,
Moo斯密碼,,,,,,,,,,,,,,,,,,,
MIX IT,177843,,,,,490,490,294,,,1,2,,,,,,,
MIX IT,,,,,,,,,,,,,,,,,,,
Mini Shiver-stone Castle,28722,,,,,,,,,,,1,,,,,,,
Mauseschlau & Bärenstark Wissen und Lachen – Deutschland,174297,,,,,,,,,,,1,,,,,,,
LOOT,770,,,,,390,390,234,,,1,1,,https://cf.geekdo-images.com/bP5qWRFDaKq33_P4JdAekw__small@2x/img/p4wPjfu-4zLU-dEuNHQFWfyb0p0=/fit-in/400x300/filters:strip_icc()/pic2240856.jpg,,,,,
little monster,,,,,,,,,,,,,,,,,,,
little fox,,,,,,,,,,,,,,,,,,,
Lighthouse adventure,183243,,,,,,,,,,,1,,,,,,,
legespiel obst,,,,,,,,,,,,,,,,,,,
laundry Day,225354,,,,,490,490,234,,,1,1,,https://github.com/TELIFUJ/tabletop-paradise/blob/main/public/images/c51a2be5e992607ae153f0d3558c2f74.jpg?raw=true,,,,,
La Boca,136280,,,,,,,,,,,1,,,,,,,
KS亡者神抽,149155,,,,,,,,,,,1,,https://cf.geekdo-images.com/f11qdOFEnn1fcOZ7M-rylg__small@2x/img/f0pCzZu3yZ5r8nt-ZGjsfckkPlU=/fit-in/400x300/filters:strip_icc()/pic2379664.jpg,,,,,
Kombat Kittens,156746,,,,,600,600,360,,,1,1,,,,,,,
K2,73761,,,,,1890,1890,1134,,,1,1,,https://cf.geekdo-images.com/BxDsGLe-9LE_qG_ryzZsbQ__small@2x/img/uVGdKtg752BrrZuRR_NxL47xd3o=/fit-in/400x300/filters:strip_icc()/pic2436550.png,,,,,
Hector Tayleplufor,202565,,,,,1080,1080,648,,,1,1,,,,,,,
HATS OFF,,,,,,,,,,,,,,,,,,,
Gruselino,1307,,,,,490,490,294,,,1,1,,https://cf.geekdo-images.com/IVcoBZA2OZDHsW8wGwQX2g__small@2x/img/WZLnWVyiwDu2BwfmpwXGGvh63uM=/fit-in/400x300/filters:strip_icc()/pic4518200.jpg,,,,,
Grand prix,,,,,,,,,,,,,,,,,,,
GHOST CATCHER,,,,,,,,,,,,,,,,,,,
G同鴨搶,2569,,,,,790,790,474,,,1,1,,https://cf.geekdo-images.com/QcdWPpsxHN5ecimvIpLLtA__small@2x/img/Daqlljmoj2OpvzAt-YBraCII7zI=/fit-in/400x300/filters:strip_icc()/pic6907065.jpg,,,,,
FUSION,103236,,,,,390,390,234,,,1,3,,,,,,,
FUSION,103236,,,,,390,390,234,,,1,1,,https://cf.geekdo-images.com/0K2iadRs2BrfA5VMWiNtdw__small@2x/img/S2ALTb1s6BFmu6ZXmYWaOMbFVBg=/fit-in/400x300/filters:strip_icc()/pic1291108.jpg,,,,,
FUSION,,,,,,,,,,,,,,,,,,,
FUSION,,,,,,,,,,,,,,,,,,,
FINDING DORY,294697,,,,,690,690,414,,,1,1,,,,,,,
"Fex, look smart!",,,,,,,,,,,,,,,,,,,
Fastrack,41762,,,,,600,600,360,,,1,1,,,,,,,
DOS遊戲卡,246701,,,,,299,299,180,,,1,1,,,,,,,
Ding~上菜囉(桌遊+繪本),,,,,,,,,,,,,,,,,,,
Ding~上菜囉,,,,,,,,,,,,,,,,,,,
der große diktator,,,,,,,,,,,,,,,,,,,
Dead Man's Treasure,16144,,,,,1000,1000,600,,,1,1,,https://cf.geekdo-images.com/ywOZQIvN8SAmRsYOV_BT4Q__small@2x/img/4gzD9SXKqa1wVdTj85Cc-7zJ3Vw=/fit-in/400x300/filters:strip_icc()/pic241922.jpg,,,,,
DC超級英雄,125678,,,,,1250,1250,750,,,1,1,,https://cf.geekdo-images.com/FaOtgk6Jh_H-IoHjWyM7FA__small@2x/img/VUuyayUeFOC7pFS979N5HYRHnwQ=/fit-in/400x300/filters:strip_icc()/pic3086041.png,,,,,
Dancing dice,10756,,,,,800,800,480,,,1,1,,,,,,,
CV人生規劃,143986,,,,,1320,1320,792,,,1,1,,,,,,,
犯罪現場：隱蔽同盟擴充 (CS-Files / CSI /Deception: Undercover Allies),227748,,,,,680,680,408,,,1,1,,https://cf.geekdo-images.com/WEg82g9YvPLL5DpzZVSQYw__small@2x/img/_8v7HVdOP_yy02eH1o19v96KTZk=/fit-in/400x300/filters:strip_icc()/pic3724108.jpg,,,,,
Col-Or-Form,165471,,,,,,,,,,,1,,,,,,,
CS犯罪現場,156129,,,,,1200,1200,720,,,1,2,,,,,,,
CIRCUS,,,,,,,,,,,,,,,,,,,
Christmas tale,190627,,,,,1500,1500,900,,,1,1,,,,,,,
Chefs,191529,,,,,1500,1500,900,,,1,1,,,,,,,
castle chimbing frog,237715,,,,,1780,1780,1068,,,1,1,,,,,,,
Can You See What I See?Finders Keepers Game,40653,,,,,600,600,360,,,1,1,,,,,,,
Bugs Galllry,,,,,,,,,,,,,,,,,,,
BUGS,191530,,,,,1250,1250,750,,,1,1,,,,,,,
BEVERBENDE,25578,,,,,500,500,300,,,1,1,,https://cf.geekdo-images.com/ec3Ugu7EF1y1d3y1clbuNg__small/img/gBeXTpQfndZ0iiek1dy5MEOgskk=/fit-in/200x150/filters:strip_icc()/pic493681.jpg,,,,,
Bert Bever,35652,,,,,390,390,234,,,1,1,,https://cf.geekdo-images.com/Bt4-Gsx-SYNiYp8XQ2Rp_g__small/img/hierXbpmfQ_YMqh2vbsjOkobmvk=/fit-in/200x150/filters:strip_icc()/pic517067.jpg,,,,,
Ballons,,,,,,,,,,,,,,,,,,,
Backyard Builders Treehouse,249414,,,,,600,600,360,,,1,1,,,,,,,
Ali,164668,,,,,490,490,294,,,1,1,,https://cf.geekdo-images.com/RWjKuiSincgYjPHinHWuPQ__small@2x/img/fpGWYViqaJCQ7CEhhuZgg-0kJP4=/fit-in/400x300/filters:strip_icc()/pic1302526.jpg,,,,,
Alacadamo,,,,,,,,,,,,,,,,,,,
Adventskalender,,,,,,,,,,,,,,,,,,,
驢橋,90009,,,,,1490,1490,894,,,1,1,,https://cf.geekdo-images.com/mNwiluGC6HCULrRtNpxGxQ__small@2x/img/AvkS1FTCba8QAMryfBJd0lR4ZTI=/fit-in/400x300/filters:strip_icc()/pic2390622.png,,,,,
靈能偵探,280136,,,,,1280,1280,768,,,1,1,,,,,,,
靈光同線,244992,,,,,450,450,270,,,1,1,,,,,,,
驚爆倫敦 危機進化,231748,,,,,590,590,354,,,1,1,,,,,,,
驚爆倫敦 (主/中文),236217,,,,,650,650,390,,,1,2,,https://cf.geekdo-images.com/auaY4tGs5xiOE7UzLngLFQ__small@2x/img/RpXVq8NAkRZvPj_VbXOOd6qZXkw=/fit-in/400x300/filters:strip_icc()/pic4229342.jpg,,,,,
驚爆倫敦 (主/中文),,,,,,,,,,,,,,,,,,,
驚魂星期五,192927,,,,,1890,1890,1134,,,1,1,,,,,,,
變臉魔方,241492,,,,,640,640,384,,,1,1,,,,,,,
變色龍,5782,,,,,500,500,300,,,1,2,,,,,,,
變色龍,,,,,,,,,,,,,,,,,,,
籤籤入扣,204734,,,,,890,890,534,,,1,1,,,,,,,
歡樂彈跳球:進階搖滾版 ,214276,,,,,899,999,400,,,1,1,,,,,,,
歡迎來到地下城(外文版),150312,,,,,680,680,408,,,1,1,,,,,,,
歡迎來到,233867,,,,,850,850,510,,,1,1,,,,,,,
歡迎回到地下城 (主/中文),195043,,,,,690,690,414,,,1,1,,,,,,,
權力的遊戲 :卡坦 (主/中文),229218,,,,,3200,3200,1920,,,1,1,,,,,,,
黯影魔城,205542,,,,,200,200,120,,,1,1,,,,,,,
魔城馬車,168839,,,,,590,590,354,,,1,1,,https://cf.geekdo-images.com/f7lkrEgKgSvemy2WbNoYFA__small@2x/img/G0xyRoum1fgQCTMM1zV83JTqVgQ=/fit-in/400x300/filters:strip_icc()/pic4629237.jpg,,,,,
魔法廚房,166510,,,,,1300,1300,780,,,1,1,,,,,,,
魔法賓果,300936,,,,,690,690,420,,,1,1,,,,,,,
魔法秘笈,391834,,,,,1050,1050,630,,,1,1,,,,,,,
魔戒擴充:暗影之路,299597,,,,,2750,2750,1650,,,1,1,,,,,,,
魔戒：中洲征途 - 黑暗中的棲身者擴充 (擴/ 中文),316630,,,,,750,750,450,,,1,1,,,,,,,
魔戒: 中洲征途 (主/中文),269385,,,,,3490,3490,2094,,,1,1,,,,,,,
霹靂投石車,310789,,,,,1280,1280,768,,,1,2,Traditional Chinese edition,https://cf.geekdo-images.com/RZolzx6FNWrbyYv3AJPmDQ__small@2x/img/Q05y8v-59OZj4XjVHlJ-pBU5Q9w=/fit-in/400x300/filters:strip_icc()/pic7216139.jpg,642394,,,,
霹靂投石車,,,,,,,,,,,,,,,,,,,
鐵道任務 歐洲 (主/中文),14996,,,,,1650,1650,990,,,1,1,,,,,,,
